Region,Country,City,Name,Website / URL
North Africa,Algeria,Algiers,Agile Algeria,https://www.agilealliance.org/communities/agile-algeria/
North Africa,Egypt,Alexandria,Agile Squad,https://www.meetup.com/Agile-Squad/
North Africa,Egypt,Cairo,Product Tank Cairo,https://www.meetup.com/ProductTank-Cairo/
North Africa,Egypt,Cairo,Product Guys,https://www.linkedin.com/company/product-guys/
North Africa,Egypt,Cairo,Cairo Product Meetup,https://www.meetup.com/Cairo-Product-Meetup/
North Africa,Egypt,Cairo,Agile Egypt,https://www.meetup.com/Agile-Egypt/
North Africa,Egypt,Cairo,Scrum Egypt,https://www.meetup.com/Egypt-Scrum/
West Africa,Ghana,Accra,Product School Accra,https://www.meetup.com/en-AU/Product-School-Accra/
West Africa,Ivory Coast,Abidjan,Project Management Institute,https://www.eventbrite.com/o/pmi-cote-divoire-chapter-11927163778
East Africa,Kenya,Nairobi,"Product Tank, Nairobi",https://www.meetup.com/ProductTank-Nairobi/
East Africa,Kenya,Nairobi,Agile Kenya,https://www.meetup.com/Nairobi-Agile-and-Scrum-Meetup/
East Africa,Kenya,Nairobi,"Women in Agile, Kenya (currently enrolling)",https://www.meetup.com/Women-In-Agile-Kenya
North Africa,Morocco,Casablanca,Agile Morocco,https://www.agilealliance.org/communities/agile-morocco/
North Africa,Morocco,Casablanca,Casablanca Agile Community,https://www.meetup.com/Casablanca-Agile-Community/
North Africa,Morocco,Casablanca,Agile Games Maroc,https://www.meetup.com/Agile-Games-Maroc/
North Africa,Morocco,Casablanca,Morroco Agile Group,https://www.meetup.com/Morocco-Agile-Group/
Southern Africa,Namibia,Windhoek,Project Management Namibia,https://www.meetup.com/Project-Management-Namibia/
West Africa,Nigeria,Abuja,"Product Tank, Abuja",https://www.mindtheproduct.com/producttank/abuja
West Africa,Nigeria,Abuja,"Product School, Abuja",https://www.meetup.com/Product-School-Abuja/
West Africa,Nigeria,Lagos,"Product Tank, Lagos",https://www.meetup.com/ProductTank-Lagos/
West Africa,Nigeria,Lagos,"Product School, Lagos",https://www.meetup.com/Product-School-Lagos/
West Africa,Nigeria,Lagos,Product Dive,https://productdive.com/
West Africa,Nigeria,Lagos,Product Manager Africa,https://www.meetup.com/Product-Manager-Africa/
West Africa,Nigeria,Lagos,Scaled Agile Framework Meetup,https://www.meetup.com/Nigeria-Scaled-Agile-Framework-SAFe-Meetup/
West Africa,Nigeria,Lagos,Agile Nigeria Meetup,https://www.meetup.com/Agile-Nigeria-Meetup/
West Africa,Nigeria,Lagos,Utiva Product School,http://utiva.io/product-management
West Africa,Nigeria,Lagos,Agile Practitioners Assn of Nigeria,https://agilepractitionersng.com/
East Africa,Rwanda,Kigali,Slack Platform Community,https://www.meetup.com/fr-FR/Slack-Platform-Community-Kigali/
West Africa,Sierra Leone,Monrovia,Sierra Leone GitLab Community,https://www.meetup.com/Sierra-Leone-GitLab-Community/
Southern Africa,South Africa,Cape Town,"Product Tank, Cape Town",https://www.meetup.com/ProductTank-cape-town/
Southern Africa,South Africa,Cape Town,Cape Town Product Meetup,https://www.meetup.com/Cape-Town-Product-Managers-Meetup/
Southern Africa,South Africa,Cape Town,"Product Hunt, Cape Town",https://www.meetup.com/Product-Hunt-Cape-Town/
Southern Africa,South Africa,Cape Town,Cape Town Agile Abundance,https://www.meetup.com/Cape-Town-agile-abundance/
Southern Africa,South Africa,Durban,Durban Agile & Developer User Group Meetup,https://www.meetup.com/Durban-Agile-User-Group-Meetup/
Southern Africa,South Africa,Gauteng,Gauteng Product Management Meetup,https://www.meetup.com/ProductManagersMeetupGauteng/
Southern Africa,South Africa,Johannesburg,"Product Tank, Johannesburg",https://www.meetup.com/ProductTank-johannesburg/
Southern Africa,South Africa,Johannesburg,"Product Talks, Johannesburg",https://www.meetup.com/en-AU/Product-Talks-Johannesburg/
Southern Africa,South Africa,Johannesburg,"Product School, Johannesburg",https://www.meetup.com/Product-School-Johannesburg/
Southern Africa,South Africa,Johannesburg,Think Agile Neighbourhood,https://www.meetup.com/Think-Agile-Neighbourhood/
Southern Africa,South Africa,Johannesburg,Agile Enthusiast,https://www.meetup.com/Agile-enthusiast/
Southern Africa,South Africa,Johannesburg,SUGSA,https://www.meetup.com/Scrum-User-Group-Johannesburg/
Southern Africa,South Africa,Johannesburg,Leading Safe Course,https://www.meetup.com/Leading-Safe-Course-SAFe-Agilist-Certification/
Southern Africa,South Africa,Stellenbosch,Stellenbosch Product Meetup,https://www.meetup.com/Stellenbosch-Product-Meetup/
North Africa,Tunisia,Sfax,"Ministry of Testing, Sfax",https://www.meetup.com/en-AU/ministry-of-testing-sfax/
North Africa,Tunisia,Tunis,Tunisia Women in Agile,https://www.meetup.com/Women-agile-Tunisia/
North Africa,Tunisia,Tunis,Tunis Scrum Meetup,https://www.meetup.com/Tunis-Scrum-Meetup/
East Africa,Uganda,Kampala,"Product Tank, Kampala",https://www.meetup.com/ProductTank-Kampala/
East Africa,Uganda,Kampala,Agile Uganda,https://www.twitter.com/agileuganda
