Region,Country,City,Name,Website / URL,Category
North Africa,Algeria,Algiers,Agile Algeria,https://www.agilealliance.org/communities/agile-algeria/,Software Project Management
North Africa,Algeria,Algiers,Dribbble Algeria Meetup,https://dribbble.com/places/algeria/meetups,Product Design
North Africa,Algeria,Algiers,Algeria Solidworks Users Group,https://www.meetup.com/Algeria-Solidworks-Users-Group/,Product Design
West Africa,Benin Republic,Cotonou,"Figma Africa, Cotonou",https://figmaafrica.com/,Product Design
Central Africa,Congo (DRC),Kinshasa,"Figma Africa, Kinshasa",https://figmaafrica.com/,Product Design
North Africa,Egypt,Alexandria,Agile Squad,https://www.meetup.com/Agile-Squad/,Software Project Management
North Africa,Egypt,Cairo,Product Tank Cairo,https://www.meetup.com/ProductTank-Cairo/,Product Management
North Africa,Egypt,Cairo,Agile Egypt,https://www.meetup.com/Agile-Egypt/,Software Project Management
North Africa,Egypt,Cairo,Cairo Product Meetup,https://www.meetup.com/Cairo-Product-Meetup/,Product Management
North Africa,Egypt,Cairo,Product Guys,https://www.linkedin.com/company/product-guys/,Product Management
North Africa,Egypt,Cairo,Scrum Egypt,https://www.meetup.com/Egypt-Scrum/,Software Project Management
North Africa,Egypt,Alexandria,Alexandria Dribbble Meetup,https://dribbble.com/places/egypt/meetups,Product Design
North Africa,Egypt,Alexandria,IDF Alexandria,https://www.interaction-design.org/local-group/africa/egypt/alexandria,Product Design
North Africa,Egypt,Az Zaqaziq,Zagazig Dribbble Meetup,https://dribbble.com/places/egypt/meetups,Product Design
North Africa,Egypt,Cairo,Cairo Dribbble Meetup,https://dribbble.com/places/egypt/meetups,Product Design
North Africa,Egypt,Cairo,Dezinpal,https://www.meetup.com/dezinpal/,Product Design
North Africa,Egypt,Cairo,IDF Cairo,https://www.interaction-design.org/local-group/africa/egypt/cairo,Product Design
West Africa,Ghana,Accra,Product School Accra,https://www.meetup.com/en-AU/Product-School-Accra/,Product Management
West Africa,Ghana,Accra,Figma Africa,https://figmaafrica.com/,Product Design
West Africa,Ghana,Accra,Design Thinking Ghana Meetup,https://www.meetup.com/Design-Thinking-Ghana-Meetup/,Product Design
West Africa,Ghana,Accra,IDF Accra,https://www.interaction-design.org/local-group/africa/ghana/accra,Product Design
West Africa,Ivory Coast,Abidjan,Project Management Institute,https://www.eventbrite.com/o/pmi-cote-divoire-chapter-11927163778,Software Project Management
East Africa,Kenya,Nairobi,"Product Tank, Nairobi",https://www.meetup.com/ProductTank-Nairobi/,Product Management
East Africa,Kenya,Nairobi,Agile Kenya,https://www.meetup.com/Nairobi-Agile-and-Scrum-Meetup/,Software Project Management
East Africa,Kenya,Nairobi,"Women in Agile, Kenya (currently enrolling)",https://www.meetup.com/Women-In-Agile-Kenya,Software Project Management
East Africa,Kenya,Nairobi,Figma Africa,https://figmaafrica.com/,Product Design
East Africa,Kenya,Nairobi,Kenya Dribble Meetup,https://dribbble.com/places/kenya/meetups,Product Design
East Africa,Kenya,Nairobi,IDF Nairobi,https://www.interaction-design.org/local-group/africa/kenya/nairobi,Product Design
East Africa,Kenya,Nairobi,Nairobi Design Community,https://www.meetup.com/Nairobi-Design-Community/,Product Design
East Africa,Kenya,Nairobi,Nairobi Design Thinking,https://www.meetup.com/nairobi-design-thinking/,Product Design
East Africa,Kenya,Nairobi,Sketch Nairobi,https://www.meetup.com/Sketch-Nairobi/,Product Design
East Africa,Kenya,Nairobi,Sketch to Prototype,https://www.meetup.com/Sketch-to-Prototype/,Product Design
East Africa,Kenya,Nairobi,The Craft of Software Design & Development,https://www.meetup.com/craft-software-design-development/,Product Design
East Africa,Kenya,Nairobi,UX Kitchen,https://www.meetup.com/UX-Kichen/,Product Design
North Africa,Libya,Benghazi,IDF Benghazi,https://www.interaction-design.org/local-group/africa/libya/benghazi,Product Design
North Africa,Morocco,Casablanca,Casablanca Agile Community,https://www.meetup.com/Casablanca-Agile-Community/,Software Project Management
North Africa,Morocco,Casablanca,Morroco Agile Group,https://www.meetup.com/Morocco-Agile-Group/,Software Project Management
North Africa,Morocco,Casablanca,Agile Games Maroc,https://www.meetup.com/Agile-Games-Maroc/,Software Project Management
North Africa,Morocco,Casablanca,Agile Morocco,https://www.agilealliance.org/communities/agile-morocco/,Software Project Management
North Africa,Morocco,Casablanca,Figma Africa,https://figmaafrica.com/,Product Design
North Africa,Morocco,Casablanca,Morocco Dribbble Meetup,https://dribbble.com/places/MOROCCO/meetups,Product Design
North Africa,Morocco,Rabbat,IDF Rabbat,https://www.interaction-design.org/local-group/africa/morocco/rabat,Product Design
East Africa,Mozambique,Maputo,IDF Maputo,https://www.interaction-design.org/local-group/africa/mozambique/maputo,Product Design
Southern Africa,Namibia,Windhoek,Project Management Namibia,https://www.meetup.com/Project-Management-Namibia/,Software Project Management
West Africa,Nigeria,Lagos,Product Manager Africa,https://www.meetup.com/Product-Manager-Africa/,Product Management
West Africa,Nigeria,Lagos,Agile Practitioners Assn of Nigeria,https://agilepractitionersng.com/,Software Project Management
West Africa,Nigeria,Lagos,Scaled Agile Framework Meetup,https://www.meetup.com/Nigeria-Scaled-Agile-Framework-SAFe-Meetup/,Software Project Management
West Africa,Nigeria,Abuja,"Product Tank, Abuja",https://www.mindtheproduct.com/producttank/abuja,Product Management
West Africa,Nigeria,Abuja,"Product School, Abuja",https://www.meetup.com/Product-School-Abuja/,Product Management
West Africa,Nigeria,Lagos,"Product Tank, Lagos",https://www.meetup.com/ProductTank-Lagos/,Product Management
West Africa,Nigeria,Lagos,Utiva Product School,http://utiva.io/product-management,Product Management
West Africa,Nigeria,Lagos,"Product School, Lagos",https://www.meetup.com/Product-School-Lagos/,Product Management
West Africa,Nigeria,Lagos,Product Dive,https://productdive.com/,Product Management
